,S&P 500
1976-12-31,23.7
1977-12-31,-7.95
1978-12-31,5.9
1979-12-31,18.0
1980-12-31,31.9
1981-12-31,-5.2
1982-12-31,20.9
1983-12-31,21.3
1984-12-31,6.21
1985-12-31,31.23
1986-12-31,18.06
1987-12-31,4.71
1988-12-31,16.22
1989-12-31,31.36
1990-12-31,-3.32
1991-12-31,30.22
1992-12-31,7.42
1993-12-31,9.89
1994-12-31,1.18
1995-12-31,37.45
1996-12-31,22.88
1997-12-31,33.19
1998-12-31,28.62
1999-12-31,21.07
2000-12-31,-9.06
2001-12-31,-12.02
2002-12-31,-22.15
2003-12-31,28.5
2004-12-31,10.74
2005-12-31,4.77
2006-12-31,15.64
2007-12-31,5.39
2008-12-31,-37.02
2009-12-31,26.49
2010-12-31,14.91
2011-12-31,1.97
2012-12-31,15.82
2013-12-31,32.18
2014-12-31,13.51
2015-12-31,1.25
