,oil,inflation,interest
Inflation,0.09833075955898431,0.2681792780304698,0.018481942709284594
Total US,0.13096105561780783,0.2803859373523392,-0.13430706090494612
US Large,-0.023284991243524632,-0.04126684968561079,-0.35598906282461296
USL Value,-0.15139893545657718,-0.09968419780577734,-0.18606006803457145
US Mid,0.18228302373332902,0.19553776282790697,-0.08355199097346465
USM Value,-0.1901863401128488,-0.07188683848676854,-0.056280251535128556
US Small,0.08572440353111083,0.3488028120148997,-0.09241619903774785
USS Value,-0.1905065579550394,0.1419572152593733,-0.023924627070790648
US Dividend Appreciation,-0.1281539775582314,-0.06401160836453144,-0.13384556557973945
US REIT,-0.10045280589596368,0.10806632800371868,-0.1852955477868983
US Consumer Staples,-0.5795054484934963,-0.4771221525777082,0.30430162348232
US Health Care,-0.04425552117109852,0.04536521157180776,0.2747229751975783
US Energy,0.8222165691467579,0.3749341465927997,-0.3566299145066076
Total International,-0.13729104072468876,-0.029402314603114453,-0.40996482412985497
International Developed,-0.11475160220081163,0.024422075392934228,-0.37052231614810593
International Developed Value,-0.17676058143988807,0.012080791914531808,-0.3250379162829946
International Developed Small,-0.10333017771083823,0.09922651605479929,-0.39053616448445894
Emerging Markets,-0.18486637188543112,-0.24238446981167935,-0.4842873525991612
Emerging Small Cap,-0.19550490738934034,-0.2458081159372002,-0.47949830978629354
Frontier Markets,-0.18486637188543112,-0.24238446981167935,-0.4842873525991612
Global REIT,-0.13188956447878447,0.08483751750761646,-0.2937666737951513
Sweden,-0.42872967181502997,-0.0170945112271272,0.4308758624901588
Australia,0.44499252734905126,0.3779890948406558,-0.36002742501820767
South Africa,0.5527685379833399,0.5312150696677153,0.04715431268092942
Gold,0.645795039834561,0.4835401158103335,-0.2084531759323864
Commodities,0.44239372535542487,0.14596462719595532,-0.2993018033414508
Emerging Market Bonds,-0.22859333192596687,-0.10454738795974212,-0.04958741188122983
International Bonds,-0.1889655745667381,-0.014565845089274079,0.096305607700164
Corporate Bonds,-0.450416929914849,-0.39157777277265604,0.06598857044023465
US Bonds,-0.24258522318882872,-0.11412516639544623,0.1623440169379697
TIPS,0.05724085465721049,0.17719838884735256,-0.11419293587236852
Intermediate Municipal Bonds,-0.31873031740517427,-0.4396722943571388,-0.14121216603959377
Long Term Treasuries,-0.3524187529747268,-0.4507512354105424,0.025250983774933726
Intermediate Treasuries,-0.3037612658249233,-0.26146921741662343,0.10437984468814417
Short Term Treasuries,-0.19185404050334834,-0.05036581229939235,0.15032419006995323
Treasury Bills,-0.03581709743412465,0.17243169313399126,0.13152468842946255
US Large Cap Growth,0.34893392683655805,0.23034873192948488,0.0497931665454032
US Mid Cap Growth,0.49401425754632233,0.39410025875830657,0.048211241449861775
US Small Cap Growth,0.37285800180313877,0.5028445017138335,-0.12594494337149206
US Extended Market,-0.36361944624085524,-0.7069650309134139,-0.37880743247561316
US Microcap,-0.08505420737450928,0.26339707752671654,-0.06489656065424697
Wellington,-0.2902137835972895,-0.21591155048572766,0.08396085713354125
Wellesley,-0.3914285823078268,-0.2671412628984209,0.04569056969703631
Windsor,-0.25041336303395256,0.050651412264578005,0.08143195331550579
Pacific,-0.10412641658854749,0.1486634589502812,-0.2613245667402216
Europe,-0.0036677553481372564,-0.05660402258886181,-0.44135047726624344
Precious Metals,0.6336711696075688,-0.36545996884688575,-0.7486647402641462
US Corporate Bond,-0.45045687149629593,-0.39161118495163244,0.0659561260727003
US Short Term Total Bond,-0.2487517341494295,-0.08372236199723278,0.15629922138024732
US Junk Bonds,-0.4948170352835119,-0.31611434503021474,0.21609533603421882
Long Term Municipal,0.3977420783110814,0.56111332021799,-0.16407573813160262
Short Term Municipal,0.4884894401326197,0.51421782833473,-0.21513177655477264
Vanguard Health Care,-0.06732169641687762,-0.007468156327617856,0.16601342239749514
spdr_Energy,0.6174987781368136,0.24296939561585607,-0.40464958986525373
spdr_Materials,0.5690641929694756,0.1661782102343666,-0.1297437641325009
spdr_Industrials,0.30914140729621764,0.2759377290943695,-0.23232082997474582
spdr_Consumer Discretionary,-0.6533630418478525,-0.25779510150640367,0.461150079307817
spdr_Consumer Staples,-0.5643222493736356,-0.45706665859966494,0.31555637230741573
spdr_Health Care,-0.07179697054798503,0.055301306359545534,0.2946120493130284
spdr_Financials,-0.47189132771731207,-0.20204534270322932,0.14612054656932483
spdr_Information Technology,-0.19996860805348765,-0.13644482663447308,0.0032926524734820904
spdr_Telecom Services,-0.36821128584502943,-0.31293878720498175,0.08188912744665633
spdr_Utilities,-0.10654120125199122,-0.4716672807598528,-0.11531181177202862
Argentina,-0.13792885742363412,-0.10364006361649336,-0.31527053549344125
Austria,-0.19295643264963822,0.12745468665346008,-0.2324390411251272
Belgium,-0.21637894030867583,-0.3771757619558227,-0.5490921792880118
Chile,0.36672766528770767,0.8046919723812487,0.7924723437933063
Germany,-0.20019177671258168,-0.37978071242970546,-0.47624216407397346
Denmark,0.042116140710790284,-0.30267527139436234,-0.3579157551839793
East Asia & Pacific,0.7116117962013881,0.6337161165693233,0.000991196350140937
Spain,-0.09755500439800141,-0.3302165039578655,-0.2850204244794024
France,0.05755573114458351,-0.05605633274922575,-0.5323348959943213
"Hong Kong SAR, China",0.4719345724537286,0.32440441489187566,-0.2877312036376258
Indonesia,0.2442154858957581,0.5340796227107162,0.5419732742800024
India,0.38928454836151516,0.16063312601838062,-0.0776822792776117
Israel,-0.10402775626952147,0.18222362574542417,0.4982962495231863
Japan,0.6817261353294984,0.6086041122608433,0.09245499901201758
Mexico,0.08260505002945656,-0.33285192610335446,-0.3758981462458635
New Zealand,-0.2850169057751747,-0.4907770937055602,-0.4232784763506685
Finland,-0.10676270746202206,0.045314388172508456,-0.2539435798005666
