DATE,DGOERY2Q224SBEA
1967-01-01,0.06000000000000000000
1968-01-01,0.07750000000000000000
1969-01-01,0.14250000000000000000
1970-01-01,0.05500000000000000000
1971-01-01,0.07750000000000000000
1972-01-01,0.20750000000000000000
1973-01-01,0.00750000000000000000
1974-01-01,-0.06000000000000000000
1975-01-01,-0.06750000000000000000
1976-01-01,0.25250000000000000000
1977-01-01,-0.01250000000000000000
1978-01-01,0.00000000000000000000
1979-01-01,-0.17000000000000000000
1980-01-01,-0.27250000000000000000
1981-01-01,0.00750000000000000000
1982-01-01,-0.01750000000000000000
1983-01-01,0.14750000000000000000
1984-01-01,0.06500000000000000000
1985-01-01,0.01750000000000000000
1986-01-01,0.15000000000000000000
1987-01-01,0.00500000000000000000
1988-01-01,0.07000000000000000000
1989-01-01,0.04500000000000000000
1990-01-01,-0.13250000000000000000
1991-01-01,0.03750000000000000000
1992-01-01,0.08750000000000000000
1993-01-01,0.04000000000000000000
1994-01-01,0.00000000000000000000
1995-01-01,0.04000000000000000000
1996-01-01,0.03000000000000000000
1997-01-01,0.05250000000000000000
1998-01-01,0.04000000000000000000
1999-01-01,0.02000000000000000000
2000-01-01,-0.04500000000000000000
2001-01-01,0.00500000000000000000
2002-01-01,0.00250000000000000000
2003-01-01,0.03250000000000000000
2004-01-01,-0.02000000000000000000
2005-01-01,-0.02500000000000000000
2006-01-01,0.03750000000000000000
2007-01-01,-0.03000000000000000000
2008-01-01,-0.09750000000000000000
2009-01-01,0.00000000000000000000
2010-01-01,-0.00250000000000000000
2011-01-01,-0.08500000000000000000
2012-01-01,-0.04000000000000000000
2013-01-01,0.09000000000000000000
2014-01-01,0.01500000000000000000
2015-01-01,0.06250000000000000000
2016-01-01,-0.01750000000000000000
2017-01-01,0.00250000000000000000
