DATE,A04018GB00LONA286NNBR
1833-01-01,1.297
1834-01-01,1.313
1835-01-01,1.308
1836-01-01,1.315
1837-01-01,1.305
1838-01-01,1.304
1839-01-01,1.323
1840-01-01,1.323
1841-01-01,1.316
1842-01-01,1.303
1843-01-01,1.297
1844-01-01,1.304
1845-01-01,1.298
1846-01-01,1.300
1847-01-01,1.308
1848-01-01,1.304
1849-01-01,1.309
1850-01-01,1.316
1851-01-01,1.337
1852-01-01,1.326
1853-01-01,1.348
1854-01-01,1.348
1855-01-01,1.344
1856-01-01,1.344
1857-01-01,1.353
1858-01-01,1.344
1859-01-01,1.360
1860-01-01,1.352
1861-01-01,1.333
1862-01-01,1.346
1863-01-01,1.345
1864-01-01,1.345
1865-01-01,1.338
1866-01-01,1.339
1867-01-01,1.328
1868-01-01,1.326
1869-01-01,1.325
1870-01-01,1.328
1871-01-01,1.326
1872-01-01,1.322
1873-01-01,1.298
1874-01-01,1.279
1875-01-01,1.242
1876-01-01,1.164
1877-01-01,1.202
1878-01-01,1.154
1879-01-01,1.124
1880-01-01,1.145
1881-01-01,1.132
1882-01-01,1.136
1883-01-01,1.109
1884-01-01,1.111
1885-01-01,1.065
1886-01-01,0.995
1887-01-01,0.979
1888-01-01,0.940
1889-01-01,0.935
1890-01-01,1.046
1891-01-01,0.988
1892-01-01,0.871
1893-01-01,0.780
1894-01-01,0.635
1895-01-01,0.654
1896-01-01,0.676
1897-01-01,0.604
1898-01-01,0.590
1899-01-01,0.602
1900-01-01,0.620
1901-01-01,0.596
1902-01-01,0.528
1903-01-01,0.543
1904-01-01,0.579
1905-01-01,0.610
1906-01-01,0.677
1907-01-01,0.662
1908-01-01,0.535
1909-01-01,0.520
1910-01-01,0.541
1911-01-01,0.539
1912-01-01,0.615
1913-01-01,0.605
1914-01-01,0.553
1915-01-01,0.519
1916-01-01,0.686
1917-01-01,0.895
1918-01-01,1.042
1919-01-01,1.250
1920-01-01,1.346
1921-01-01,0.805
1922-01-01,0.754
1923-01-01,0.700
1924-01-01,0.745
1925-01-01,0.703
1926-01-01,0.629
1927-01-01,0.571
1928-01-01,0.586
1929-01-01,0.536
1930-01-01,0.387
1931-01-01,0.320
1932-01-01,0.391
1933-01-01,0.391
